2023-05-15 19:35:17 status half-installed sysvinit-utils:arm64 2.96-7
2023-05-15 19:35:17 status unpacked sysvinit-utils:arm64 2.96-7
2023-05-15 19:35:17 install tar:arm64 <none> 1.34+dfsg-1
2023-05-15 19:35:17 status half-installed tar:arm64 1.34+dfsg-1
2023-05-15 19:35:18 status unpacked tar:arm64 1.34+dfsg-1
2023-05-15 19:35:18 install tzdata:all <none> 2021a-1+deb11u1
2023-05-15 19:35:18 status half-installed tzdata:all 2021a-1+deb11u1
2023-05-15 19:35:19 status unpacked tzdata:all 2021a-1+deb11u1
2023-05-15 19:35:19 install bsdutils:arm64 <none> 1:2.36.1-8
2023-05-15 19:35:19 status half-installed bsdutils:arm64 1:2.36.1-8
2023-05-15 19:35:19 status unpacked bsdutils:arm64 1:2.36.1-8
2023-05-15 19:35:19 install libblkid1:arm64 <none> 2.36.1-8
2023-05-15 19:35:19 status half-installed libblkid1:arm64 2.36.1-8
2023-05-15 19:35:19 status unpacked libblkid1:arm64 2.36.1-8
2023-05-15 19:35:19 install libmount1:arm64 <none> 2.36.1-8
2023-05-15 19:35:19 status half-installed libmount1:arm64 2.36.1-8
2023-05-15 19:35:19 status unpacked libmount1:arm64 2.36.1-8
2023-05-15 19:35:20 install libsmartcols1:arm64 <none> 2.36.1-8
2023-05-15 19:35:20 status half-installed libsmartcols1:arm64 2.36.1-8
2023-05-15 19:35:20 status unpacked libsmartcols1:arm64 2.36.1-8
2023-05-15 19:35:20 install libuuid1:arm64 <none> 2.36.1-8
2023-05-15 19:35:20 status half-installed libuuid1:arm64 2.36.1-8
2023-05-15 19:35:20 status unpacked libuuid1:arm64 2.36.1-8
2023-05-15 19:35:20 install mount:arm64 <none> 2.36.1-8
2023-05-15 19:35:20 status half-installed mount:arm64 2.36.1-8
2023-05-15 19:35:20 status unpacked mount:arm64 2.36.1-8
2023-05-15 19:35:20 install util-linux:arm64 <none> 2.36.1-8
2023-05-15 19:35:20 status half-installed util-linux:arm64 2.36.1-8
2023-05-15 19:35:21 status unpacked util-linux:arm64 2.36.1-8
2023-05-15 19:35:21 install libxxhash0:arm64 <none> 0.8.0-2
2023-05-15 19:35:21 status half-installed libxxhash0:arm64 0.8.0-2
2023-05-15 19:35:21 status unpacked libxxhash0:arm64 0.8.0-2
2023-05-15 19:35:21 install liblzma5:arm64 <none> 5.2.5-2
2023-05-15 19:35:21 status half-installed liblzma5:arm64 5.2.5-2
2023-05-15 19:35:21 status unpacked liblzma5:arm64 5.2.5-2
2023-05-15 19:35:21 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2
2023-05-15 19:35:21 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2
2023-05-15 19:35:21 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2
2023-05-15 19:35:22 startup packages configure
2023-05-15 19:35:22 configure lsb-base:all 11.1.0 <none>
2023-05-15 19:35:22 status unpacked lsb-base:all 11.1.0
2023-05-15 19:35:22 status half-configured lsb-base:all 11.1.0
2023-05-15 19:35:22 status installed lsb-base:all 11.1.0
2023-05-15 19:35:22 configure libtirpc-common:all 1.3.1-1 <none>
2023-05-15 19:35:22 status unpacked libtirpc-common:all 1.3.1-1
2023-05-15 19:35:22 status half-configured libtirpc-common:all 1.3.1-1
2023-05-15 19:35:22 status installed libtirpc-common:all 1.3.1-1
2023-05-15 19:35:22 configure debian-archive-keyring:all 2021.1.1 <none>
2023-05-15 19:35:22 status unpacked debian-archive-keyring:all 2021.1.1
2023-05-15 19:35:22 status half-configured debian-archive-keyring:all 2021.1.1
2023-05-15 19:35:22 status installed debian-archive-keyring:all 2021.1.1
2023-05-15 19:35:22 configure libaudit-common:all 1:3.0-2 <none>
2023-05-15 19:35:22 status unpacked libaudit-common:all 1:3.0-2
2023-05-15 19:35:22 status half-configured libaudit-common:all 1:3.0-2
2023-05-15 19:35:22 status installed libaudit-common:all 1:3.0-2
2023-05-15 19:35:22 configure libsemanage-common:all 3.1-1 <none>
2023-05-15 19:35:22 status unpacked libsemanage-common:all 3.1-1
2023-05-15 19:35:22 status half-configured libsemanage-common:all 3.1-1
2023-05-15 19:35:22 status installed libsemanage-common:all 3.1-1
2023-05-15 19:35:22 configure gcc-10-base:arm64 10.2.1-6 <none>
2023-05-15 19:35:22 status unpacked gcc-10-base:arm64 10.2.1-6
2023-05-15 19:35:22 status half-configured gcc-10-base:arm64 10.2.1-6
2023-05-15 19:35:22 status installed gcc-10-base:arm64 10.2.1-6
2023-05-15 19:35:22 configure ncurses-base:all 6.2+20201114-2 <none>
2023-05-15 19:35:22 status unpacked ncurses-base:all 6.2+20201114-2
2023-05-15 19:35:22 status half-configured ncurses-base:all 6.2+20201114-2
2023-05-15 19:35:22 status installed ncurses-base:all 6.2+20201114-2
2023-05-15 19:35:22 configure gcc-9-base:arm64 9.3.0-22 <none>
